t,x,y,vx,vy,r,theta,omega
138600,-153854005.86509845,95019381.64892422,-9189.484497147394,-9113.97938011289,180242349.9980941,24.388554077991785,0.0001612940638564045
138800,-155652426.52551973,93172205.46639423,-8992.103302106458,-9235.880912649913,180830688.7939148,24.42096714630199,0.0001620653415510243
139000,-157411289.3587219,91301350.30829197,-8794.314166010841,-9354.275790511325,181407656.2738031,24.453519769488146,0.00016276311593077107
139200,-159130519.2007173,89407507.30968171,-8596.149209976911,-9469.214993051302,181973213.92362317,24.486197191139212,0.00016338710825532267
139400,-160810046.9699593,87491357.69523348,-8397.638846209984,-9580.748072241175,182527325.3636853,24.518984620303115,0.00016393714581950942
139600,-162449809.34274888,85553573.06114273,-8198.81186394797,-9688.923170453783,183069956.24032852,24.551867253722452,0.00016441316709669022
139800,-164049748.44500378,83594815.65337493,-7999.695511274444,-9793.787038839007,183601074.12273967,24.584830298937817,0.00016481522607682852
140000,-165609811.55960545,81615738.64214255,-7800.315573008407,-9895.385056161893,184120648.4047641,24.617858998089414,0.00016514349575798808
140200,-167129950.84857926,79616986.39254504,-7600.696444869034,-9993.761247987532,184628650.21147326,24.650938652241287,0.00016539827075935838
140400,-168610123.0894002,77599194.73132336,-7400.861204104789,-10088.958306108447,185125052.31026736,24.684054646048047,0.00016557996903379343
140600,-170050289.4247538,75562991.2096992,-7200.831676767894,-10181.01760812082,185609829.02630058,24.717192472581655,0.00016568913266804485
140800,-171450415.12511516,73508995.3622861,-7000.628501806837,-10269.979237065474,186082956.162029,24.750337758135498,0.0001657264277692222
141000,-172810469.3635435,71437818.96207444,-6800.271192141735,-10355.882001058342,186544410.9206891,24.783476286824765,0.000165692643446342
141200,-174130425.00211945,69350066.27150585,-6599.778192879752,-10438.763452843014,186994171.83352622,24.816594024805955,0.0001655886899059549
141400,-175410258.38948354,67246334.28966479,-6399.166936820467,-10518.65990920526,187432218.69060025,24.849677143944074,0.0001654155956905899
141600,-176649949.16896236,65127212.9956256,-6198.453897394097,-10595.606470195957,187858532.4750056,24.882712044763668,0.00016517450409796197
141800,-177849480.09679613,62993285.58800265,-5997.654639168796,-10669.637038114743,188273095.3003497,24.915685378529147,0.00016486666882739722
142000,-179008836.8700075,60845128.72076021,-5796.783866056847,-10740.784336212197,188675890.3513439,24.94858406831067,0.00016449344890760403
142200,-180128007.96347618,58683312.73534558,-5595.855467343483,-10809.079927073159,189066901.82736593,24.981395328903997,0.00016405630296664013
142400,-181206984.47580743,56508401.88921593,-5394.882561656252,-10874.554230648238,189446114.88886362,25.014106685486116,0.0001635567829106029
142600,-182245759.98360488,54320954.58083502,-5193.87753898731,-10937.236541904535,189813515.6064727,25.04670599090254,0.00016299652708213293
142800,-183244330.40378004,52121523.57122098,-4992.852100875789,-10997.155048070224,190169090.9127318,25.079181441497187,0.00016237725297322874
143000,-184202693.8635505,49910656.20213081,-4791.817298852364,-11054.336845450864,190512828.55628136,25.11152159141101,0.0001617007495691046
143200,-185120850.5777992,47688894.61097117,-4590.7835712434335,-11108.807955798222,190844717.0584405,25.14371536529119,0.00016096886940089526
143400,-185998802.73348477,45456775.94252815,-4389.760778427832,-11160.593342215067,191164745.67206207,25.17575206936818,0.00016018352038495322
143600,-186836554.38081172,43214832.557611816,-4188.758236634735,-11209.716924581668,191472904.34257007,25.20762140087325,0.00015934665752535094
143800,-187634111.3308852,40963592.23871343,-3987.784750367422,-11256.201594491922,191769183.67109048,25.239313455784064,0.0001584602745540684
144000,-188391481.05959195,38703578.392775655,-3786.848643533736,-11300.069229688885,192053574.87959084,25.270818734900125,0.00015752639558030564
144200,-189108672.61746407,36435310.25117742,-3585.9577893605306,-11341.34070799116,192326069.7779485,25.302128148263428,0.0001565470668165155
144400,-189785696.54529727,34159303.0670368,-3385.119639166001,-11380.035920703125,192586660.73287308,25.33323301795227,0.00015552434844421688
144600,-190422564.7953094,31876068.30993614,-3184.34125006062,-11416.173785503306,192835340.6386115,25.36412507928778,0.00015446030667754543
144800,-191019290.65763828,29586113.858174868,-2983.629311644425,-11449.77225880636,193072102.8893701,25.39479648050317,0.00015335700607694745
145000,-191575888.6919914,27289944.188655823,-2782.9901717655894,-11480.84834759522,193296941.35339075,25.42523978093508,0.00015221650215954796
145200,-192092374.66427192,24988060.56451166,-2582.4298614025915,-11509.418120720822,193509850.34862238,25.45544794780441,0.00015104083434664474
145400,-192568765.4880179,22680961.22057812,-2381.954118729836,-11535.496719667697,193710824.61993372,25.485414351660932,0.00014983201928260893
145600,-193005079.17050275,20369141.54682125,-2181.5684124242875,-11559.098368784345,193899859.3178154,25.515132760571596,0.0001485920445533171
145800,-193401334.76335645,18053094.269825656,-1981.2779642685482,-11580.236384977983,194076949.9785239,25.544597333136835,0.00014732286282619344
146000,-193757552.3175772,15733309.632450908,-1781.087771103813,-11598.923186873739,194242092.5056232,25.573802610422455,0.0001460263864280902
146200,-194073752.8428141,13410275.571763141,-1581.0026261843109,-11615.17030343884,194395283.15288222,25.602743506896786,0.0001447044823716536
146400,-194349958.27081072,11084477.895348597,-1381.027139983131,-11628.988382072725,194536518.50849062,25.6314153004639,0.0001433589678355701
146600,-194586191.42291027,8756400.456115732,-1181.1657604977802,-11640.387196164325,194665795.48055777,25.659813621683742,0.00014199160609921645
146800,-194782475.98153076,6426525.325692123,-981.4227931023768,-11649.375652118046,194783111.28386194,25.6879344422693,0.00014060410292778027
147000,-194938836.46552917,4095332.966522085,-781.8024199920937,-11655.96179585019,194888463.42782164,25.71577406294928,0.0001391981033999037
147200,-195055298.20938203,1763302.402770531,-582.308719264274,-11660.15281875777,194981849.7056611,25.74332910078255,0.00013777518916634527
147400,-195131887.34611794,-569088.6098618247,-382.94568367958846,-11661.955063161779,195063268.1847471,25.77059647600756,0.00013633687612505998
147600,-195168630.79394707,-2901363.41530725,-183.71723914565996,-11661.374027227126,195132717.19807506,25.797573398506653,0.00013488461249546105
147800,-195165556.24654,-5233046.289179558,15.372737035248747,-11658.414369361537,195190195.336886,25.82425735396114,0.00013341977727243854
148000,-195122692.1669173,-7563662.271598712,214.3203981136055,-11653.079912095769,195235701.4443979,25.85064608976893,0.00013194367903895227
148200,-195040067.78491834,-9892737.000688225,413.12190999476434,-11645.373645447573,195269234.61063796,25.876737600791863,0.00013045755511466775
148400,-194917713.0982271,-12219796.546642594,611.7734334561358,-11635.297729771843,195290794.16836405,25.90253011499529,0.00012896257101713637
148600,-194755658.87693912,-14544367.246262487,810.2711064399946,-11622.853498099463,195300379.69006643,25.92802207903757,0.0001274598202114067
148800,-194553936.67166254,-16865975.537855957,1008.6110263828372,-11608.041457967342,195297990.98604375,25.953212143862302,0.00012595032412366055
149000,-194312578.82515407,-19184147.796404395,1206.7892325423895,-11590.86129274219,195283628.10354796,25.978099150341194,0.00012443503239446225
149200,-194031618.4874974,-21498410.168892514,1404.8016882834465,-11571.311862440594,195257291.32699758,26.002682115010685,0.00012291482334746107
149400,-193711089.63484064,-23808288.409702115,1602.6442632837106,-11549.391204048006,195218981.1792585,26.026960215940658,0.00012139050464986019
149600,-193351027.0917165,-26113307.71596996,1800.3127156206717,-11525.096531339235,195168698.4239963,26.050932778768985,0.00011986281414163166
149800,-192951466.55697644,-28412992.5628106,1997.8026737003513,-11498.424234203196,195106444.06910455,26.07459926293124,0.00011833242081128361
150000,-192512444.63337874,-30706866.538305525,2195.109617988409,-11469.369877474624,195032219.37121654,26.09795924811063,0.00011679992589694563
150200,-192033998.86087802,-32994452.178160653,2392.228862503677,-11437.928199275642,194946025.84131083,26.12101242092915,0.00011526586409260475
150400,-191516167.7536713,-35275270.79993468,2589.155536033666,-11404.093108870133,194847865.25142285,26.143758561897247,0.00011373070484047317
150600,-190958990.8410651,-37548842.336741485,2785.884563030931,-11367.857684034032,194737739.64247683,26.166197532635582,0.00011219485369167771
150800,-190362508.71223542,-39814685.17033046,2982.4106441484655,-11329.214167944854,194615651.33325598,26.188329263379323,0.00011065865371871188
151000,-189726763.06496114,-42072315.96344924,3178.7282363714144,-11288.15396559393,194481602.93053025,26.210153740772196,0.00010912238696436606
151200,-189051796.75842085,-44321249.49139427,3374.8315327014525,-11244.667639725152,194335597.3403643,26.231670995954822,0.00010758627591313592
151400,-188337653.87015104,-46560998.472655125,3570.7144413490873,-11198.744906304291,194177637.78063035,26.252881092949302,0.00010605048497239195
151600,-187584379.75727344,-48791073.39855979,3766.370564387962,-11150.374629523316,194007727.79475415,26.273784117339673,0.000104515121951863
151800,-186792021.12210864,-51010982.36182871,3961.7931758239133,-11099.544816344589,193825871.2667239,26.294380165245922,0.00010298023953123772
152000,-185960626.0823026,-53220230.88394676,4156.975199030122,-11046.242610590258,193632072.4373963,26.314669332587304,0.00010144583670691248
152200,-185090244.24560297,-55418321.741263315,4351.909183498127,-10990.45428658277,193426335.92213488,26.334651704629326,0.00009991186021011015
152400,-184180926.7894324,-57604754.78973192,4546.587280852795,-10932.16524234302,193208666.72982123,26.354327345807278,0.00009837820588975818
152600,-183232726.5454169,-59779026.788202606,4741.001220077514,-10871.359992353431,192979070.28328073,26.373696289818206,0.00009684472005464689
152800,-182245698.0890381,-61940631.22018141,4935.142281893941,-10808.022159894022,192737552.4411685,26.392758529972305,0.00009531120077048961
153000,-181219897.8345904,-64089058.11397352,5129.001272238529,-10742.134468960521,192484119.52136555,26.411514009794022,0.00009377739910857936
153200,-180155384.13563526,-66223793.861128435,5322.568494775811,-10673.678735774558,192218778.32593685,26.429962613862777,0.0000922430203437842
153400,-179052217.39115804,-68344321.03310788,5515.833722386054,-10602.635859897206,191941536.16770795,26.448104158882906,0.00009070772510065068
153600,-177910460.15764558,-70450118.19609956,5708.786167562338,-10528.985814958403,191652400.89852,26.465938384972386,0.00008917113044739821
153800,-176730177.26731572,-72540659.72390282,5901.414451649393,-10452.707639016304,191351380.93922812,26.483464947160105,0.00008763281093859242
154000,-175511435.95274496,-74615415.60881525,6093.706572853703,-10373.779424562184,191038485.31150967,26.500683407081763,0.0000860922996082919
154200,-174254305.9781547,-76673851.27045293,6285.649872951286,-10292.178308188408,190713723.6715563,26.51759322486506,0.00008454908891647769
154400,-172958859.7776314,-78715427.36244072,6477.231002616397,-10207.88045993891,190377106.34572607,26.53419375119558,0.0000830026316526091
154600,-171625172.6005732,-80739599.5769135,6668.435885290957,-10120.861072363947,190028644.36823738,26.550484219555823,0.00008145234180121234
154800,-170253322.66467103,-82745818.44677417,6859.249679510954,-10031.094349303285,189668349.52099118,26.566463738630926,0.00007989759537551286
155000,-168843391.3167506,-84733529.14565912,7049.656739602254,-9938.553494424756,189296234.37561324,26.58213128487618,0.0000783377312262788
155200,-167395463.20181972,-86702171.28556874,7239.640574654313,-9843.210699548124,188912312.3378136,26.597485695243034,0.00007677205183426616
155400,-165909626.4406845,-88651178.71212624,7429.183805676061,-9745.037132787511,188516597.6941656,26.612525660062225,0.00007519982409595883
155600,-164385972.8165177,-90579979.2974361,7618.268120833859,-9644.002926549292,188109105.6614135,26.627249716084965,0.00007362028011369479
155800,-162824597.97078434,-92487994.73052138,7806.874228666828,-9540.07716542642,187689852.4384226,26.64165623968552,0.0000720326180027776
156000,-161225601.60895035,-94374640.30532828,7994.981809170001,-9433.227874034525,187258855.26089415,26.655743440231483,0.000070436002729808
156200,-159589087.7164242,-96239324.70629628,8182.569462630742,-9323.422004840018,186816132.4589717,26.66950935363113,0.00006882956699825045
156400,-157915164.78520447,-98081449.79150343,8369.614656098578,-9210.625426035775,186361703.5178753,26.68295183607097,0.00006721241219919233
156600,-156203946.05173185,-99900410.37340859,8556.093667363113,-9094.802909525788,185895589.14170474,26.696068557960444,0.00006558360944737835
156800,-154455549.74647006,-101695593.99722591,8741.981526309004,-8975.918119086637,185417811.32056272,26.70885699810543,0.00006394220072492906
157000,-152670099.35576788,-103466380.71698204,8927.25195351099,-8853.933598780617,184928393.40115649,26.721314438136968,0.00006228720015770052
157200,-150847723.8965827,-105212142.86932266,9111.877295925873,-8728.810761703091,184427360.16104418,26.733437957227373,0.00006061759545203168
157400,-148988558.2046763,-106932244.84515366,9295.82845953194,-8600.509879155017,183914737.8867023,26.74522442713191,0.00005893234952267847
157600,-147092743.23692435,-108626042.85922183,9479.07483875976,-8468.990070340853,183390554.45559925,26.75667050760112,0.000057230402346067134
157800,-145160426.38841406,-110292884.71776225,9661.58424255153,-8334.20929270206,182854839.4224699,26.76777264221645,0.00005551067307663388
158000,-143191761.82503822,-111932109.58436374,9843.322816879192,-8196.124333007487,182307624.10999647,26.778527054710043,0.0000537720624679694
158200,-141186910.83232933,-113543047.74423051,10024.25496354445,-8054.690799333844,181748941.7041114,26.788929745838995,0.00005201345564477026
158400,-139146042.18131402,-115125020.36704704,10204.34325507656,-7909.86311408269,181178827.35414952,26.79897649089424,0.000050233725276224215
158600,-137069332.51220673,-116677339.26868595,10383.548345536443,-7761.594508194572,180597318.278088,26.808662837935525,0.00004843173520642948
158800,-134956966.7368011,-118199306.67203327,10561.82887702825,-7609.837016736598,180004453.87312487,26.817984106856077,0.000046606344602766184
159000,-132809138.46045868,-119690214.96724461,10739.141381712045,-7454.541476056733,179400275.83185986,26.826935389393835,0.00004475641268879278
159200,-130626050.42463791,-121149346.47178793,10915.440179103869,-7295.657522716604,178784828.26435387,26.835511550220676,0.000042880804134208124
159400,-128407914.97094949,-122575973.19067489,11090.677268442136,-7133.133594434799,178158157.82635763,26.84370722925681,0.000040978395180666314
159600,-126154954.52777107,-123969356.5773338,11264.802215892067,-6966.916933294565,177520313.854014,26.85151684537455,0.00003904808058870247
159800,-123867402.12050048,-125328747.29563254,11437.762036353015,-6796.953591493709,176871348.50535324,26.85893460167408,0.00003708878149764784
