t,x,y,vx,vy,r,theta,omega
255400,-135011943.713049,111211601.81778921,-11015.979977665793,-7779.286511991598,174225897.34800604,57.164959780220556,0.0003519206573680195
255600,-137176864.8707783,109624216.88972741,-10824.605788646519,-7936.924640308958,174917824.48925555,57.23511606175957,0.0003507814076950719
255800,-139303348.1743242,108006114.53954242,-10632.41651772966,-8090.511750924988,175598864.4167774,57.305088253518505,0.00034986095879466233
256000,-141391241.2400135,106358092.00649983,-10439.465328446466,-8240.11266521301,176268952.42925158,57.374921264342134,0.00034916505411814586
256200,-143440401.76619974,104680933.8709688,-10245.802630931126,-8385.790677655086,176928027.27282858,57.44466063221394,0.0003486968393590068
256400,-145450697.00980726,102975412.35925226,-10051.476218037611,-8527.607558582717,177576030.96968615,57.51435201621201,0.00034845691999033177
256600,-147422003.28879407,101242287.64733236,-9856.531394933987,-8665.623559599499,178212908.65477955,57.58404070096424,0.00034844342376113435
256800,-149354205.50928846,99482308.16305998,-9661.011102471923,-8799.897421361893,178838608.42040342,57.65377111440213,0.00034865206718947054
257000,-151247196.71621236,97696210.88637523,-9464.956034619514,-8930.486383423695,179453081.1682006,57.72358635961471,0.0003490762260628674
257200,-153100877.66625953,95884721.64719988,-9268.404750235843,-9057.446195876713,180056280.46826842,57.79352776178485,0.00034970701085072287
257400,-154915156.42215067,94048555.42069091,-9071.39377945573,-9180.831132544905,180648162.42502984,57.86363443153002,0.00035053334872586284
257600,-156689947.9671393,92188416.61958855,-8873.95772494316,-9300.694005511756,181228685.5495514,57.93394284644224,0.00035154207456110663
257800,-158425173.8387917,90304999.38343227,-8676.129358261907,-9417.086180781409,181797810.63800427,58.004486453200045,0.0003527180337890096
258000,-160120761.7811121,88398987.86445369,-8477.939711601966,-9530.05759489291,182355500.65597987,58.075295293273186,0.00035404420036572035
258200,-161776645.41413024,86471056.50998884,-8279.418165090685,-9639.656772324213,182901720.62838414,58.14639565592108,0.0003555018132394888
258400,-163392763.9201118,84521870.34128118,-8080.592529907879,-9745.93084353836,183436437.53464827,58.21780976285465,0.0003570705346678398
258600,-164969061.74559477,82552085.22857346,-7881.489127414878,-9848.925563538623,183959620.209006,58.28955548954154,0.00035872863343444774
258800,-166505488.31849444,80562348.16241094,-7682.1328644983005,-9948.685330812554,184471239.24560034,58.361646128635996,0.00036045319547225963
259000,-168001997.77955854,78553297.5210996,-7482.547305320529,-10045.253206556763,184971266.90819255,58.434090201355374,0.0003622203635969047
259200,-169458548.72749057,76525563.33428255,-7282.75473966024,-10138.670934085276,185459677.0442599,58.506891322755266,0.00036400560699946006
259400,-170875103.9770942,74479767.54261573,-7082.776248018098,-10228.978958334113,185936445.00327682,58.580048126727526,0.0003657840198612869
259600,-172251630.32982513,72416524.25353895,-6882.631763654678,-10316.21644538385,186401547.55898577,58.65355425612258,0.0003675306469752812
259800,-173588098.35616913,70336439.99315293,-6682.3401317200505,-10400.421301930068,186854962.83547336,58.727398422651945,0.00036922083264680726
260000,-174884482.18929455,68240113.95422511,-6481.919165627035,-10481.6301946391,187296670.23687702,58.801564540148526,0.0003708305874829051
260200,-176140759.32945716,66128138.24035846,-6281.385700813086,-10559.878569333245,187726650.38055548,58.876031933359855,0.00037233696605663385
260400,-177356910.45866296,64001098.10636731,-6080.75564602898,-10635.20066995573,188144885.03356585,58.95077562275261,0.0003737184469637552
260600,-178532919.26512015,61859572.19491305,-5880.044032286009,-10707.629557271317,188551357.05229765,59.025766683869755,0.00037495530558574676
260800,-179668772.2770376,59704132.76946036,-5679.2650595872165,-10777.19712726348,188946050.3251221,59.10097267767906,0.0003760299690465323
261000,-180764458.70535004,57535345.943621635,-5478.4321415623035,-10843.934129193614,189328949.71792176,59.17635814617818,0.00037692734249559275
261200,-181819970.2949741,55353771.90696325,-5277.557948120231,-10907.870183291916,189700041.02237412,59.25188516538554,0.0003776350960367826
261400,-182835301.18421972,53159965.1473526,-5076.654446228221,-10969.033798053259,190059310.90686765,59.327513945862414,0.00037814390238439746
261600,-183810447.7720039,50954474.669929646,-4875.732938920782,-11027.452387114761,190406746.86993653,59.40320346919397,0.00037844761665776697
261800,-184745408.5925314,48737844.21279068,-4674.804102637571,-11083.152285694796,190742337.1961062,59.478912147507906,0.00037854339156967893
